Round,Accuracy,TestLoss,TrainingLoss
1,28.3333,1.2705,1.3039
2,41.6667,1.2769,1.3160
3,30.0000,1.2922,1.3262
4,30.0000,1.2218,1.2870
5,30.0000,1.3398,1.4389
6,30.0000,1.3177,1.3712
7,28.3333,1.4155,1.1562
8,41.6667,1.2268,1.3577
9,28.3333,1.3064,1.4047
10,28.3333,1.2913,1.3637
11,28.3333,1.3030,1.2420
12,28.3333,1.3314,1.3453
13,30.0000,1.2685,1.3488
14,41.6667,1.2287,1.4064
15,41.6667,1.2516,1.3128
16,41.6667,1.2262,1.2067
17,28.3333,1.2994,1.3361
18,41.6667,1.2035,1.2833
19,43.3333,1.2509,1.3089
20,30.0000,1.2291,1.2667
21,30.0000,1.2789,1.3256
22,60.0000,1.1803,1.3508
23,28.3333,1.4988,1.1954
24,41.6667,1.1834,1.3377
25,60.0000,1.2694,1.3261
26,41.6667,1.2062,1.2852
27,75.0000,1.2212,1.2243
28,30.0000,1.2647,1.2657
29,81.6667,1.2196,1.2210
30,61.6667,1.1737,1.2396
31,78.3333,1.1780,1.0319
32,63.3333,1.1740,1.2767
33,31.6667,1.1199,1.1787
34,86.6667,1.1746,1.2508
35,38.3333,1.1616,1.2478
36,30.0000,1.1444,1.1305
37,41.6667,1.1251,1.1980
38,58.3333,1.1249,1.1682
39,28.3333,1.3543,1.1474
40,48.3333,1.1756,1.1960
41,70.0000,1.0861,1.2066
42,53.3333,1.1456,1.1998
43,70.0000,1.0908,1.2585
44,63.3333,1.1235,1.0804
45,28.3333,1.2369,1.1236
46,30.0000,1.1667,1.1336
47,65.0000,1.0600,1.1872
48,68.3333,1.1100,1.1684
49,76.6667,1.0552,1.1680
50,75.0000,1.0385,1.1060
51,60.0000,1.0996,1.0515
52,70.0000,1.0179,1.1113
53,30.0000,1.0337,1.0866
54,30.0000,1.0618,1.0915
55,70.0000,1.0340,0.9107
56,61.6667,0.9746,1.0204
57,65.0000,0.9879,1.0307
58,61.6667,0.9762,1.0513
59,43.3333,0.9937,1.0172
60,85.0000,0.9298,0.9274
61,86.6667,0.8788,0.9064
62,63.3333,0.9473,0.9699
63,85.0000,0.9408,1.0122
64,78.3333,0.9086,0.9521
65,80.0000,0.8906,0.9338
66,60.0000,0.9222,0.9360
67,68.3333,0.8981,0.9657
68,30.0000,1.0025,0.9441
69,58.3333,0.8856,0.9639
70,73.3333,0.8429,0.9424
71,30.0000,1.1038,0.9789
72,60.0000,0.8737,0.9264
73,63.3333,0.9137,0.9039
74,81.6667,0.8978,0.9005
75,73.3333,0.8129,0.9327
76,78.3333,0.8195,0.9217
77,76.6667,0.8280,0.9004
78,81.6667,0.7814,0.9713
79,83.3333,0.7586,0.8542
80,73.3333,0.7275,0.8494
81,76.6667,0.7875,0.8735
82,83.3333,0.7356,0.8162
83,83.3333,0.7268,0.8270
84,76.6667,0.7554,0.8045
85,68.3333,0.7448,0.7977
86,83.3333,0.7180,0.8142
87,65.0000,0.7403,0.8054
